participant_id	source_group	source_subject
sub-001	group1	sub-001
sub-002	group1	sub-002
sub-003	group1	sub-003
sub-004	group1	sub-004
sub-005	group1	sub-005
sub-006	group1	sub-006
sub-007	group1	sub-007
sub-008	group1	sub-008
sub-009	group1	sub-009
sub-010	group1	sub-010
sub-011	group1	sub-011
sub-012	group1	sub-012
sub-013	group1	sub-013
sub-014	group1	sub-014
sub-015	group1	sub-015
sub-016	group1	sub-016
sub-017	group1	sub-017
sub-018	group1	sub-018
sub-019	group1	sub-019
sub-020	group1	sub-020
sub-021	group1	sub-021
sub-022	group2	sub-001
sub-023	group2	sub-002
sub-024	group2	sub-003
sub-025	group2	sub-004
sub-026	group2	sub-005
sub-027	group2	sub-006
sub-028	group2	sub-007
sub-029	group2	sub-008
sub-030	group2	sub-009
sub-031	group2	sub-010
sub-032	group2	sub-011
sub-033	group2	sub-012
sub-034	group2	sub-013
sub-035	group2	sub-014
sub-036	group2	sub-015
sub-037	group2	sub-016
sub-038	group2	sub-017
sub-039	group2	sub-018
sub-040	group2	sub-019
sub-041	group2	sub-020
sub-042	group2	sub-021
sub-043	group2	sub-022
sub-044	group2	sub-023
sub-045	group3	sub-001
sub-046	group3	sub-002
sub-047	group3	sub-003
sub-048	group3	sub-004
sub-049	group3	sub-005
sub-050	group3	sub-006
sub-051	group3	sub-007
sub-052	group3	sub-008
sub-053	group3	sub-009
sub-054	group3	sub-010
sub-055	group3	sub-011
sub-056	group3	sub-012
sub-057	group3	sub-013
sub-058	group3	sub-014
sub-059	group3	sub-015
sub-060	group3	sub-016
sub-061	group3	sub-017
sub-062	group3	sub-018
sub-063	group3	sub-019
sub-064	group3	sub-020
sub-065	group3	sub-021
sub-066	group3	sub-022
sub-067	group3	sub-023
